,Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Industry PE,Debt,Price to book value,Cash from operations last year,Debt to equity,Return on equity,Piotroski score,Credit rating,Industry PBV,Equity capital,Total Assets,is in nse
1,Astec Lifescienc,533138.0,ASTEC,Pesticides / Agrochemicals - Indian,1058.65,28.68,2072.66,0.14,7.06,-41.94,116.01,-7.07,20.49,22.08,99.82,7.46,168.44,0.36,21.22,6.0,,2.94,19.58,619.34,True
2,Bayer Crop Sci.,506285.0,BAYERCROP,Pesticides / Agrochemicals - Multinational,5079.5,46.37,22828.34,1.77,-45.1,-133.27,918.2,7.52,29.95,39.54,0.0,9.02,665.9,0.0,23.77,8.0,,6.79,44.9,4251.0,True
4,Bharat Rasayan,590021.0,BHARATRAS,Pesticides / Agrochemicals - Indian,10451.65,28.8,4441.95,0.01,35.23,37.67,222.04,-0.87,34.23,22.08,34.98,6.88,262.58,0.05,32.91,6.0,,2.94,4.25,817.79,True
6,Dhanuka Agritech,507717.0,DHANUKA,Pesticides / Agrochemicals - Indian,729.25,16.91,3396.72,1.65,40.04,44.71,295.67,8.91,26.28,22.08,4.95,4.1,162.08,0.01,20.84,8.0,,2.94,9.32,1215.98,True
7,Insecticid.India,532851.0,INSECTICID,Pesticides / Agrochemicals - Indian,458.2,13.07,947.0,0.87,6.15,-30.9,299.17,13.81,14.35,22.08,62.16,1.19,241.85,0.08,12.51,6.0,,2.94,20.67,1284.16,True
9,Meghmani Organ.,532865.0,MEGH,Pesticides / Agrochemicals - Indian,82.75,8.88,2104.45,1.21,69.34,37.23,657.67,25.94,21.68,22.08,663.03,1.58,404.28,0.5,21.79,5.0,,2.94,25.43,2950.6,True
10,NACL Industries,524709.0,NACLIND,Pesticides / Agrochemicals - Indian,41.25,21.09,809.4,0.24,9.2,144.03,264.75,10.92,9.71,22.08,197.57,2.1,103.04,0.51,5.45,6.0,,2.94,19.62,1003.69,True
11,P I Industries,523642.0,PIIND,Pesticides / Agrochemicals - Indian,2275.2,51.58,34517.84,0.18,195.4,61.35,1162.1,36.75,23.05,22.08,416.0,6.88,698.1,0.08,18.55,4.0,,2.94,15.2,7023.9,True
14,Rallis India,500355.0,RALLIS,Pesticides / Agrochemicals - Indian,258.0,24.54,5017.3,0.97,45.64,7.87,570.47,6.91,16.31,22.08,49.69,3.26,336.84,0.03,12.92,7.0,,2.94,19.45,2661.03,True
15,Sharda Cropchem,538666.0,SHARDACROP,Pesticides / Agrochemicals - Indian,331.1,12.61,2987.2,1.21,48.31,724.4,493.81,29.12,18.46,22.08,29.25,2.07,146.3,0.02,14.97,5.0,,2.94,90.22,2110.77,True
18,Sumitomo Chemi.,542920.0,SUMICHEM,Pesticides / Agrochemicals - Indian,299.3,47.46,14939.43,0.18,54.38,14410.53,560.12,6.75,29.27,22.08,37.65,10.55,221.63,0.03,22.41,5.0,,2.94,499.15,2633.96,True
20,UPL,512070.0,UPL,Pesticides / Agrochemicals - Indian,589.45,17.27,45036.66,1.02,794.0,-1.74,9126.0,2.63,10.85,22.08,32364.0,2.37,8739.0,1.7,13.8,6.0,,2.94,153.0,73974.0,True
0,Global Vectra,532773.0,GLOBALVECT,Transport - Airlines,46.1,,64.54,0.0,-0.83,-151.88,78.91,-31.05,7.65,2.57,336.05,1.11,76.45,5.76,2.64,6.0,,12.92,14.0,720.01,True
1,Interglobe Aviat,539448.0,INDIGO,Transport - Airlines,1691.4,,65095.81,0.0,-626.58,-227.76,4909.98,-50.56,5.16,2.57,25386.23,35.67,6943.3,13.91,-13.99,3.0,,12.92,384.86,40219.53,True
2,Jet Airways,532617.0,JETAIRWAYS,Transport - Airlines,123.05,,1397.85,0.0,-2327.52,-56.3,4737.82,-20.03,,2.57,8658.51,,-2619.71,,,1.0,,12.92,113.6,6971.64,True
5,SpiceJet,500285.0,SPICEJET,Transport - Airlines,83.85,,5038.86,0.0,-56.96,-177.79,1686.62,-53.75,-268.75,2.57,9104.68,,1841.79,,,4.0,,12.92,600.46,12094.06,True
0,Assoc.Alcohols,507526.0,ASALCBR,Breweries & Distilleries,356.5,12.02,644.52,0.28,24.94,57.65,152.96,8.2,34.86,11.79,5.7,3.05,58.41,0.03,29.15,9.0,,1.49,18.08,283.29,True
3,G M Breweries,507488.0,GMBREW,Breweries & Distilleries,425.8,14.82,778.26,0.7,21.11,51.0,112.06,-6.41,23.39,11.79,0.0,1.78,78.79,0.0,17.47,6.0,,1.49,18.29,485.77,True
4,Globus Spirits,533104.0,GLOBUSSPR,Breweries & Distilleries,337.9,8.88,973.13,0.3,38.23,214.91,316.39,-3.62,14.4,11.79,136.89,1.95,135.44,0.27,11.81,8.0,,1.49,28.8,892.54,True
5,IFB Agro Inds.,507438.0,IFBAGRO,Breweries & Distilleries,425.95,12.46,399.12,0.0,17.08,176.82,200.47,-20.28,5.1,11.79,0.67,0.98,0.66,0.0,6.19,5.0,,1.49,9.37,468.3,True
7,Jubilant Inds.,533320.0,JUBLINDS,Breweries & Distilleries,209.8,19.55,315.35,0.0,7.36,90.67,157.61,22.84,14.74,11.79,124.13,3.01,47.27,1.18,22.71,6.0,,1.49,15.03,444.74,True
12,Pioneer Distil.,531879.0,PIONDIST,Breweries & Distilleries,109.0,,145.95,0.0,-27.95,-118.7,32.08,-35.71,-17.55,11.79,426.94,,29.28,,,5.0,,1.49,13.39,409.04,True
13,Radico Khaitan,532497.0,RADICO,Breweries & Distilleries,614.1,33.96,8202.43,0.33,80.53,29.64,684.21,5.6,18.4,11.79,310.02,5.1,59.69,0.19,17.3,5.0,,1.49,26.71,2498.96,True
14,Ravikumar Distll,533294.0,RKDL,Breweries & Distilleries,7.7,,18.48,0.0,-1.01,-520.83,0.0,-100.0,0.89,11.79,31.53,0.3,-0.5,0.52,0.88,6.0,,1.49,24.0,140.81,True
16,Som Distilleries,507514.0,SDBL,Breweries & Distilleries,34.4,,223.56,0.0,-11.01,-479.66,78.14,-18.75,7.09,11.79,187.72,0.77,41.15,0.65,4.75,4.0,,1.49,32.49,719.09,True
17,Tilaknagar Inds.,507205.0,TI,Breweries & Distilleries,27.95,,350.59,0.0,-3.89,89.62,167.62,2.24,-8.17,11.79,516.78,,190.79,,,5.0,,1.49,125.28,1014.98,True
18,United Breweries,532478.0,UBL,Breweries & Distilleries,1208.3,1895.77,31947.45,0.21,126.78,-19.41,1291.1,-11.25,16.74,11.79,209.95,9.53,507.79,0.06,12.76,6.0,,1.49,26.44,5185.96,True
19,United Spirits,532432.0,MCDOWELL-N,Breweries & Distilleries,552.05,148.53,40114.09,0.0,287.0,15.39,2673.0,3.3,20.82,11.79,1004.4,11.1,783.2,0.28,17.37,7.0,,1.49,145.3,8968.4,True
0,Alicon Cast.,531147.0,ALICON,Auto Ancillaries,462.9,,643.9,0.27,11.45,35.66,268.43,18.32,10.02,36.12,332.5,2.31,57.08,1.19,5.47,4.0,,2.27,6.96,847.99,True
1,Amara Raja Batt.,500008.0,AMARAJABAT,Auto Ancillaries,908.25,26.12,15514.05,1.21,193.19,17.51,1960.12,12.15,23.48,36.12,70.98,3.95,1176.91,0.02,18.55,7.0,,2.27,17.08,5462.98,True
6,Autoline Industr,532797.0,AUTOIND,Auto Ancillaries,33.4,,103.42,0.0,-10.66,36.47,92.6,13.73,-11.47,36.12,124.23,4.98,22.66,5.98,-87.29,3.0,,2.27,30.96,419.81,True
7,Autolite (I),500029.0,AUTOLITIND,Auto Ancillaries,27.75,,31.03,0.0,-3.23,-2836.36,19.42,-50.21,-2.42,36.12,39.38,0.9,5.57,1.14,-18.97,3.0,,2.27,11.19,117.19,True
8,Automotive Axles,505010.0,AUTOAXLES,Auto Ancillaries,1210.7,321.51,1829.37,0.56,13.19,191.17,271.97,65.12,10.69,36.12,28.21,3.56,197.8,0.05,7.84,6.0,,2.27,15.11,734.38,True
9,Automotive Stamp,520119.0,ASAL,Auto Ancillaries,38.1,,60.43,0.0,-3.91,54.11,111.89,30.93,-21.55,36.12,197.85,,8.08,,,3.0,,2.27,15.86,212.57,True
10,Banco Products,500039.0,BANCOINDIA,Auto Ancillaries,156.45,9.93,1118.91,12.78,36.81,176.35,375.5,18.09,13.13,36.12,93.01,1.45,52.12,0.12,9.48,5.0,,2.27,14.3,1136.71,True
12,Bharat Gears,505688.0,BHARATGEAR,Auto Ancillaries,78.25,,72.82,0.0,4.74,159.25,151.5,44.4,-1.32,36.12,127.54,1.14,53.56,1.99,-22.34,3.0,,2.27,9.31,379.97,True
14,Bosch,500530.0,BOSCHLTD,Auto Ancillaries,15449.9,78.32,45567.38,0.68,185.75,-21.7,3029.64,19.44,18.46,36.12,63.11,5.16,1336.1,0.01,12.0,5.0,,2.27,29.49,13081.24,True
19,Endurance Tech.,540153.0,ENDURANCE,Auto Ancillaries,1406.8,44.18,19788.45,0.39,190.05,60.28,2040.86,24.4,21.2,36.12,581.73,6.19,1011.4,0.18,19.85,7.0,,2.27,140.66,5569.28,True
21,Exide Inds.,500086.0,EXIDEIND,Auto Ancillaries,208.75,24.09,17743.75,1.96,241.45,81.81,4196.53,18.09,17.02,36.12,500.81,2.6,1619.19,0.07,12.52,6.0,,2.27,85.0,26545.33,True
22,Federal-Mogul Go,505744.0,FMGOETZE,Auto Ancillaries,307.2,200.35,1708.95,0.0,34.82,329.35,356.78,27.79,6.41,36.12,0.59,2.17,191.44,0.0,4.14,5.0,,2.27,55.63,1175.64,True
23,Fiem Industries,532768.0,FIEMIND,Auto Ancillaries,550.8,16.38,724.84,2.36,19.85,-18.88,358.39,10.3,16.18,36.12,60.9,1.39,207.33,0.12,14.98,7.0,,2.27,13.16,958.87,True
25,Gabriel India,505714.0,GABRIEL,Auto Ancillaries,119.5,29.6,1716.55,1.09,24.59,40.03,536.49,17.78,16.4,36.12,9.67,2.66,120.13,0.01,13.56,6.0,,2.27,14.36,1072.12,True
